research_id	is_reference_control	is_phase1_control	ancestry_pred	ancestry_pred_other	sex_at_birth	inferred_sex	population_code	ancestry_source	has_sv_counts	n_sv_del	n_sv_ins
HG00096	True	False	eur	eur	Male	XY	GBR	1kg_phase3_panel	False		
HG00097	True	False	eur	eur	Female	XX	GBR	1kg_phase3_panel	False		
HG00099	True	False	eur	eur	Female	XX	GBR	1kg_phase3_panel	False		
HG00126	True	False	eur	eur	Male	XY	GBR	1kg_phase3_panel	False		
HG00128	True	False	eur	eur	Female	XX	GBR	1kg_phase3_panel	False		
HG00133	True	False	eur	eur	Female	XX	GBR	1kg_phase3_panel	False		
HG00140	True	False	eur	eur	Male	XY	GBR	1kg_phase3_panel	False		
HG00146	True	False	eur	eur	Female	XX	GBR	1kg_phase3_panel	False		
HG00171	True	False	eur	eur	Female	XX	FIN	1kg_phase3_panel	False		
HG002	True	True	oth	oth	Male	XY		curated_hprc_giab	True	6350.0	9534.0
HG00232	True	False	eur	eur	Female	XX	GBR	1kg_phase3_panel	False		
HG00235	True	False	eur	eur	Female	XX	GBR	1kg_phase3_panel	False		
HG00253	True	False	eur	eur	Female	XX	GBR	1kg_phase3_panel	False		
HG00268	True	False	eur	eur	Female	XX	FIN	1kg_phase3_panel	False		
HG00272	True	False	eur	eur	Female	XX	FIN	1kg_phase3_panel	False		
HG00280	True	False	eur	eur	Male	XY	FIN	1kg_phase3_panel	False		
HG00290	True	False	eur	eur	Male	XY	FIN	1kg_phase3_panel	False		
HG00320	True	False	eur	eur	Female	XX	FIN	1kg_phase3_panel	False		
HG00321	True	False	eur	eur	Male	XY	FIN	1kg_phase3_panel	False		
HG00323	True	False	eur	eur	Female	XX	FIN	1kg_phase3_panel	False		
HG00329	True	False	eur	eur	Male	XY	FIN	1kg_phase3_panel	False		
HG00344	True	False	eur	eur	Female	XX	FIN	1kg_phase3_panel	False		
HG00350	True	False	eur	eur	Female	XX	FIN	1kg_phase3_panel	False		
HG00358	True	False	eur	eur	Male	XY	FIN	1kg_phase3_panel	False		
HG00408	True	False	eas	eas	Female	XX	CHS	1kg_ped	False		
HG00423	True	False	eas	eas	Female	XX	CHS	1kg_ped	False		
HG00438	True	True	eas	eas	Female	XX	CHS	curated_hprc_giab	True	6130.0	9344.0
HG005	True	True	eas	eas	Male	XY		curated_hprc_giab	True	6254.0	9475.0
HG00512	True	False	eas	eas	Male	XY	CHS	1kg_ped	False		
HG00513	True	False	eas	eas	Female	XX	CHS	1kg_phase3_panel	False		
HG00514	True	False	eas	eas	Female	XX	CHS	1kg_ped	False		
HG00544	True	False	eas	eas	Female	XX	CHS	1kg_ped	False		
HG00558	True	False	eas	eas	Female	XX	CHS	1kg_ped	False		
HG00597	True	False	eas	eas	Female	XX	CHS	1kg_ped	False		
HG00609	True	False	eas	eas	Male	XY	CHS	1kg_ped	False		
HG00621	True	True	eas	eas	Male	XY	CHS	curated_hprc_giab	True	6184.0	9323.0
HG00639	True	False	amr	amr	Female	XX	PUR	1kg_ped	False		
HG00642	True	False	amr	amr	Male	XY	PUR	1kg_ped	False		
HG00658	True	False	eas	eas	Male	XY	CHS	1kg_ped	False		
HG00673	True	True	eas	eas	Male	XY	CHS	curated_hprc_giab	True	6197.0	9252.0
HG00706	True	False	eas	eas	Male	XY	CHS	1kg_ped	False		
HG00731	True	False	amr	amr	Male	XY	PUR	1kg_phase3_panel	False		
HG00732	True	False	amr	amr	Female	XX	PUR	1kg_phase3_panel	False		
HG00733	True	True	amr	amr	Female	XX	PUR	curated_hprc_giab	True	6239.0	9196.0
